System	SubSystem	Emulator	Name	Year	ROM	Players	Joystick	Ways	Buttons	LightGun	Stick	TrackBall	Other Input	Vertical	Manufacturer	Genre	SubGenre	Sub2Genre	CameraGenre	GraphicsGenre	FWA MAX 2 	FUA
arcade	none		Gunforce: Battle Fire Engulfed Terror Island	1991	gunforce	2	single	8	2	no	no	no	none	no	Irem	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none		Gunlock	1993	gunlock	4	single	8	4	no	no	no	dial	yes	Taito	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none		Guwange	1999	guwange	2	single	8	3	no	no	no	none	yes	Cave	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none		Gyruss	1983	gyruss	2	single	2	1	no	no	no	none	yes	Konami	Shooter	Flying	other	3rd Person	unknown	yes	yes
arcade	none		Hammerin' Harry	1990	hharry	2	single	8	4	no	no	no	none	no	Irem	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none		Hang-On	1985	hangon	1	none	none	0	no	no	no	pedal/paddle	no	SEGA	Driving	Motorbike	other	unknown	unknown	yes	yes
arcade	none		Haunted Castle	1988	hcastle	2	single	4	2	no	no	no	none	no	Konami	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none		Heated Barrel	1992	heatbrl	4	single	8	2	no	no	no	none	no	TAD Corporation	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none		Heavy Barrel	1987	hbarrel	2	single	8	2	no	no	no	positional	yes	Data East	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none		Hellfire	1989	hellfire	2	single	8	2	no	no	no	none	no	Toaplan	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none		Hippodrome	1989	hippodrm	2	single	8	2	no	no	no	none	no	Data East	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Hit the Ice	1990	hitice	4	single	8	3	no	no	no	none	no	Taito	Sports	Hockey	other	unknown	unknown	yes	yes
arcade	none		Hook	1992	hook	4	single	8	2	no	no	no	none	no	Irem	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none		Hot Chase	1988	hotchase	1	none	none	2	no	no	no	pedal/paddle	no	Konami	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	none		Hotdog Storm	1996	hotdogst	2	single	8	3	no	no	no	none	yes	Other	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none		Hyper Sports	1984	hyperspt	4	none	none	3	no	no	no	none	no	Konami	Sports	Track & Field	other	unknown	unknown	yes	yes
arcade	none		Hyper Street Fighter 2: The Anniversary Edition	2004	hsf2	2	single	8	6	no	no	no	none	no	Capcom	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		I, Robot	1983	irobot	1	none	none	2	no	yes	no	none	no	Atari	Shooter	other	other	unknown	unknown	yes	yes
arcade	none		Ibara Kuro Black Label	2006	ibarablk	2	single	8	4	no	no	no	none	yes	Cave	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none		Ikari 3: The Rescue	1989	ikari3	2	single	8	3	no	no	no	positional	no	SNK	Shooter	Walking	Fighter	unknown	unknown	yes	yes
arcade	none		Ikari Warriors	1986	ikari	2	single	8	2	no	no	no	positional	yes	SNK	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none		Image Fight	1988	imgfight	2	single	8	4	no	no	no	none	yes	Irem	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none		In The Hunt	1993	inthunt	2	single	8	2	no	no	no	none	no	Irem	Shooter	other	other	Horizontal	unknown	yes	yes
arcade	none		Indiana Jones & the Temple of Doom	1985	indytemp	1	single	8	1	no	no	no	none	no	Atari	Maze	Fighter	other	unknown	unknown	yes	yes
arcade	none		Insector X	1989	insectx	2	single	8	2	no	no	no	none	no	Taito	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none		Iron Horse	1986	ironhors	2	single	4	3	no	no	no	none	no	Konami	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none		Ironman Ivan Stewart's Super Off-Road Track-Pak	1989	offroadt	3	none	none	1	no	no	no	pedal/dial	no	Other	Driving	Race Track	other	Aerial	unknown	yes	yes
arcade	neogeo		Irritating Maze, The	1997	irrmaze	2	none	none	2	no	no	yes	none	no	SNK	Maze	Ball Guide	other	unknown	unknown	yes	yes
arcade	none		J. J. Squawkers	1993	jjsquawk	2	single	8	3	no	no	no	none	no	Other	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none		Jackal	1986	jackal	2	single	8	2	no	no	no	none	yes	Konami	Shooter	Driving	other	Vertical	unknown	yes	yes
arcade	none		Jail Break	1986	jailbrek	2	single	8	2	no	no	no	none	no	Konami	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none		JoJo no Kimyou na Bouken: Mirai e no Isan	1999	jojoban	2	single	8	6	no	no	no	none	no	Capcom	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		JoJo's Venture	1998	jojon	2	single	8	6	no	no	no	none	no	Capcom	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Joe & Mac Returns	1994	joemacr	2	single	8	3	no	no	no	none	no	Data East	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none		Joust	1982	joust	2	single	2	1	no	no	no	none	no	Williams	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none		Joust 2: Survival of the Fittest	1986	joust2	2	single	2	2	no	no	no	none	yes	Williams	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none		Jr. Pac-Man	1983	jrpacman	2	single	4	0	no	no	no	none	yes	Midway	Maze	Collect	other	unknown	unknown	yes	yes
arcade	none		Judge Dredd	1993	jdreddp	3	single	8	4	no	no	no	none	no	Midway	Fighter	Beat Em Up	other	unknown	3D	yes	yes
arcade	none		Jungle King	1982	junglek	2	single	8	1	no	no	no	none	no	Taito	Platform	Run, Jump &	other	Scrolling	unknown	yes	yes
arcade	none		Juno First	1983	junofrst	2	single	8	3	no	no	no	none	yes	Konami	Shooter	Gallery	other	unknown	unknown	yes	yes
arcade	none		Jurassic Park	1993	jpark	2	none	none	1	no	yes	no	none	no	SEGA	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	none		Kageki	1988	kageki	2	single	8	2	no	no	no	none	yes	Kaneko	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Kangaroo	1982	kangaroo	2	single	8	1	no	no	no	none	yes	Other	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none		Karate Champ	1984	kchamp	2	twin	4	0	no	no	no	none	yes	Data East	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none		Karate Champ	1984	kchampvs	2	twin	4	0	no	no	no	none	yes	Data East	Fighter	Versus	other	unknown	unknown	yes	yes
