System	Name	Year	ROM	Players	Joystick	Buttons	LightGun	TrackBall	Other Input	Vertical	Manufacturers	Player Legends 2	Retro Arcade 2 Elites	Other CoinOps
arcade	Arch Rivals	1989	archrivl	2	none	2	No	No	stick	No	Bally Midway	No	No	Yes
arcade	Area 51	1996	area51	2	none	1	Yes	No	none	No	Atari Games	No	No	Yes
arcade	Area 51	1995	area51t	2	none	1	Yes	No	none	No	Atari Games / Time Warner license	No	No	Yes
arcade	Argus	1986	argus	2	joy8way	2	No	No	none	Yes	NMK / Jaleco license	No	No	Yes
arcade	Arkanoid	1986	arkanoid	2	none	1	No	No	dial	Yes	Taito	No	No	Yes
arcade	Arkanoid: Revenge of DOH	1987	arknoid2	2	none	1	No	No	dial	Yes	Taito	Yes	Yes	Yes
arcade	Arm Wrestling	1985	armwrest	1	joy3 (half4)way	1	No	No	none	No	Nintendo	No	No	Yes
arcade	Armed F	1988	armedf	2	joy8way	3	No	No	none	Yes	Nichibutsu	No	No	Yes
arcade	Armed Police Batrider	1998	batrider	2	joy8way	3	No	No	none	Yes	Raizing / Eighting	Yes	Yes	Yes
arcade	Armored Warriors	1994	armwar	3	joy8way	3	No	No	none	No	Capcom	Yes	Yes	Yes
arcade	Art of Fighting	1992	aof	2	joy8way	4	No	No	none	No	SNK	Yes	Yes	Yes
arcade	Art of Fighting 2	1994	aof2	2	joy8way	4	No	No	none	No	SNK	No	No	Yes
arcade	Art of Fighting 3: The Path of the Warrior	1996	aof3	2	joy8way	4	No	No	none	No	SNK	No	No	Yes
arcade	Ashura Blaster	1990	ashura	2	joy8way	2	No	No	none	Yes	Taito / Visco	No	No	Yes
arcade	Assault	1988	assault	2	doublejoy4way	1	No	No	none	Yes	Namco	No	Yes	Yes
arcade	Asterix	1992	asterix	2	joy8way	2	No	No	none	No	Konami	Yes	Yes	Yes
arcade	Asteroids	1979	asteroid	1	none	5	No	No	none	No	Atari	Yes	Yes	Yes
arcade	Asteroids Deluxe	1980	astdelux	1	none	5	No	No	none	No	Atari / Dave Shepperd	Yes	Yes	Yes
arcade	Astro Blaster	1981	astrob	2	joy2way	2	No	No	none	Yes	SEGA	No	No	Yes
arcade	Astyanax, The	1989	astyanax	2	joy8way	3	No	No	none	No	Jaleco	No	Yes	Yes
arcade	Asuka & Asuka	1988	asuka	2	joy8way	2	No	No	none	Yes	Taito	No	No	Yes
arcade	Asura Blade: Sword of Dynasty	1998	asurabld	2	joy8way	3	No	No	none	No	Fuuki	No	Yes	Yes
arcade	Asura Buster: Eternal Warriors	2001	asurabus	2	joy8way	3	No	No	none	No	Fuuki	No	Yes	Yes
arcade	Asylum	1991	asylum	3	joy8way	2	No	No	none	Yes	Leland Corporation	No	No	Yes
arcade	Athena	1986	athena	2	joy8way	2	No	No	none	No	SNK	Yes	Yes	Yes
arcade	Atomic Robo-kid	1988	robokid	2	joy8way	2	No	No	none	No	UPL	No	No	Yes
arcade	Aurail	1990	aurail	2	joy8way	3	No	No	none	No	SEGA / Westone	No	No	Yes
arcade	Avengers	1987	avengers	2	joy8way	2	No	No	none	Yes	Capcom	Yes	Yes	Yes
arcade	Avenging Spirit	1991	avspirit	2	joy8way	2	No	No	none	No	Jaleco	No	No	Yes
arcade	B.C. Kid	1994	bonkadv	2	joy8way	4	No	No	none	No	Kaneko / Red Company	No	Yes	Yes
arcade	B.Rap Boys	1992	brapboys	3	joy8way	2	No	No	none	No	Kaneko	Yes	Yes	Yes
arcade	Back Street Soccer	1996	bssoccer	4	joy8way	3	No	No	none	No	SunA / Unico license	No	No	Yes
arcade	Bad Dudes vs. Dragonninja	1988	baddudes	2	joy8way	2	No	No	none	No	Data East	Yes	Yes	Yes
arcade	Bad Lands	1989	badlands	2	none	2	No	No	dial	No	Atari Games / Atari	No	No	Yes
arcade	Bagman	1982	bagman	2	joy4way	1	No	No	none	Yes	Valadon Automation	No	Yes	Yes
arcade	Bakutotsu Kijuutei	1988	bakutotu	2	joy8way	3	No	No	none	No	Namco	No	No	Yes
arcade	Bang Bead	2000	bangbead	2	joy8way	4	No	No	none	No	Visco	No	No	Yes
arcade	Bank Panic	1984	bankp	2	joy2way	3	No	No	none	No	Sanritsu / SEGA	Yes	Yes	Yes
arcade	Baraduke	1985	baraduke	2	joy8way	1	No	No	none	No	Namco	No	No	Yes
arcade	Baseball Stars 2	1992	bstars2	2	joy8way	4	No	No	none	No	SNK	No	Yes	Yes
arcade	Batman	1991	batman	1	joy8way	2	No	No	none	No	Atari Games / Atari	No	No	Yes
arcade	Batman Forever	1996	batmanfr	2	joy8way	3	No	No	none	No	Acclaim	No	No	Yes
arcade	Batsugun: Special Version	1993	batsugunsp	2	joy8way	3	No	No	none	Yes	Toaplan	Yes	Yes	Yes
arcade	Battlantis	1987	battlnts	2	joy8way	1	No	No	none	Yes	Konami	No	No	Yes
arcade	Battle Bakraid: Unlimited Version	1999	bbakraid	2	joy8way	3	No	No	none	Yes	Eighting	Yes	Yes	Yes
arcade	Battle Chopper	1987	bchopper	2	joy8way	4	No	No	none	No	Irem	Yes	Yes	Yes
arcade	Battle Circuit	1997	batcir	4	joy8way	2	No	No	none	No	Capcom	Yes	Yes	Yes
arcade	Battle Flip Shot	1998	flipshot	2	joy8way	4	No	No	none	No	Visco	No	No	Yes
arcade	Battle Garegga	1996	bgaregga	2	joy8way	3	No	No	none	Yes	Raizing / Eighting	Yes	Yes	Yes
arcade	Battle Lane! Vol. 5	1986	battlane	2	joy8way	2	No	No	none	Yes	Technos Japan / Taito	No	No	Yes
arcade	Battle Rangers	1988	battlera	2	joy8way	3	No	No	none	No	Data East	No	Yes	Yes
arcade	Battle Shark	1989	bsharkjjs	1	joy8way	2	No	No	none	No	Taito	No	No	Yes
arcade	Battle Zone	1980	bzone	1	doublejoyvertical2way	1	No	No	none	No	Atari	Yes	Yes	Yes
arcade	Battle of Atlantis	1981	atlantis	2	joy8way	2	No	No	none	Yes	Comsoft	No	No	Yes
arcade	Battletoads	1994	btoads	3	joy8way	2	No	No	none	No	Rare / Electronic Arts	No	Yes	Yes
arcade	Bay Route	1989	bayroute	2	joy8way	3	No	No	none	No	Sunsoft / SEGA	No	Yes	Yes
arcade	Beast Busters	1989	bbusters	3	none	2	Yes	No	none	No	SNK	No	No	Yes
arcade	Bells & Whistles	1991	blswhstl	2	joy8way	2	No	No	none	Yes	Konami	No	No	Yes
arcade	Bermuda Triangle	1987	bermudat	2	joy8way	2	No	No	positional	Yes	SNK	No	No	Yes
arcade	Berzerk	1980	berzerk	2	joy8way	1	No	No	none	No	Stern Electronics / Stern Electronics, Inc.	Yes	Yes	Yes
arcade	Best Of Best	1994	bestbest	2	joy8way	6	No	No	none	No	SunA	No	No	Yes
arcade	Big Karnak	1991	bigkarnk	2	joy8way	2	No	No	none	No	Gaelco	No	No	Yes
arcade	Big Run	1989	bigrun	1	none	3	No	No	pedal/paddle	No	Jaleco	No	No	Yes
arcade	Bio Attack	1983	bioatack	2	joy8way	1	No	No	none	Yes	Taito / Fox Video Games license	No	Yes	Yes
arcade	Bio-ship Paladin	1990	bioship	2	joy8way	2	No	No	none	No	UPL / American Sammy license	No	No	Yes
arcade	Biomechanical Toy	1995	biomtoy	2	joy8way	2	No	No	none	No	Gaelco / Zeus	No	No	Yes
arcade	Bionic Commando	1987	bionicc	2	joy8way	2	No	No	none	No	Capcom	Yes	Yes	Yes
arcade	Black Heart	1991	blkheart	2	joy8way	2	No	No	none	No	UPL	No	No	Yes
arcade	Black Tiger	1987	blktiger	2	joy8way	2	No	No	none	No	Capcom	Yes	Yes	Yes
arcade	Black Widow	1982	bwidow	1	doublejoy8way	0	No	No	none	No	Atari	Yes	Yes	Yes
arcade	Blade Master	1991	bmaster	2	joy8way	2	No	No	none	No	Irem	No	Yes	Yes
arcade	Blades of Steel	1987	bladestl	2	joy8way	3	No	No	none	Yes	Konami	No	No	Yes
arcade	Blandia	1992	blandia	2	joy8way	3	No	No	none	No	Allumer	No	No	Yes
arcade	Blast Off	1989	blastoff	2	joy8way	3	No	No	none	Yes	Namco	No	No	Yes
arcade	Blasteroids	1987	blstroid	2	none	4	No	No	dial	No	Atari Games / Atari	No	No	Yes
arcade	Blaze On	1992	blazeon	2	joy8way	2	No	No	none	No	A.I / Atlus license	No	No	Yes
arcade	Blazer	1987	blazer	2	joy8way	3	No	No	none	Yes	Namco	No	No	Yes
arcade	Blazing Star	1998	blazstar	2	joy8way	4	No	No	none	No	Yumekobo / SNK	Yes	Yes	Yes
arcade	Blazing Tornado	1994	blzntrnd	4	joy8way	4	No	No	none	No	Human Amusement	No	No	Yes
arcade	Block Hole	1989	blockhl	2	joy4way	3	No	No	none	No	Konami	No	No	Yes
arcade	Block Out	1989	blockout	2	joy8way	4	No	No	none	No	Technos Japan / California Dreams	No	No	Yes
arcade	Blood Bros.	1990	bloodbro	2	joy8way	3	No	No	none	No	TAD Corporation / Tad Corporation	Yes	Yes	Yes
arcade	Blood Storm	1994	bloodstm	2	joy8way	5	No	No	none	No	Strata/Incredible Technologies	No	No	Yes
arcade	Blood Warrior	1994	bloodwar	2	joy8way	4	No	No	none	No	Kaneko	No	No	Yes
arcade	Bloody Roar 2	1998	bldyror2	2	joy8way	4	No	No	none	No	Eighting / Raizing	No	No	Yes
arcade	Blue's Journey	1990	bjourney	2	joy8way	4	No	No	none	No	Alpha Denshi Co. / ADK	No	Yes	Yes
arcade	Body Slam	1986	bodyslam	2	joy8way	3	No	No	none	No	SEGA	No	No	Yes
arcade	Bogey Manor	1985	bogeyman	2	joy8way	2	No	No	none	No	Technos Japan	No	No	Yes
arcade	Bomb Jack	1984	bombjack	2	joy8way	1	No	No	none	Yes	Tehkan / Tehkan Ltd.	Yes	Yes	Yes
arcade	Bomber Man	1991	bombrman	2	joy4way	2	No	No	none	No	Irem / licensed from Hudson Soft	No	No	Yes
arcade	Bomber Man World	1992	bbmanw	4	joy4way	2	No	No	none	No	Irem / Hudson	No	No	Yes
arcade	Bombjack Twin	1993	bjtwin	2	joy8way	2	No	No	none	Yes	NMK / NMK Co. Ltd	No	No	Yes
arcade	Bonanza Bros	1990	bnzabros	2	joy8way	3	No	No	none	No	SEGA	No	No	Yes
arcade	Bonze Adventure	1988	bonzeadv	2	joy8way	2	No	No	none	No	Taito	No	Yes	Yes
arcade	Boogie Wings	1992	boogwing	2	joy8way	3	No	No	none	No	Data East	Yes	Yes	Yes
arcade	Border Down	2003	bdrdown	2	joy8way	6	No	No	none	No	G.Rev	No	Yes	Yes
arcade	Bosconian: Star Destroyer	1981	bosco	2	joy8way	1	No	No	none	No	Namco	Yes	Yes	Yes
arcade	Boulder Dash	1990	bouldash	2	joy4way	2	No	No	none	No	Data East / licensed from First Star	No	No	Yes
arcade	Boxy Boy	1990	boxyboy	2	joy8way	3	No	No	none	No	Namco	No	No	Yes
arcade	Brain	1986	brain	2	joy8way	2	No	No	none	No	Coreland / SEGA	No	No	Yes
arcade	Brave Blade	2000	brvblade	4	joy8way	3	No	No	none	Yes	Eighting / Raizing	No	No	Yes
arcade	Break Thru	1986	brkthru	2	joy8way	2	No	No	none	No	Data East	Yes	Yes	Yes
arcade	Breakers Revenge	1998	breakrev	2	joy8way	4	No	No	none	No	Visco / SNK	No	Yes	Yes
arcade	Breywood	1986	breywood	2	joy8way	2	No	No	none	No	Data East	No	No	Yes
arcade	Brute Force	1991	brutforc	3	joy8way	2	No	No	none	No	Leland Corporation	No	No	Yes
arcade	Bubble Bobble	1986	bublboblr	2	joy2way	2	No	No	none	No	Taito / Romstar license	Yes	Yes	Yes
arcade	Bubble Bobble 2	1994	bublbob2	4	joy8way	4	No	No	dial	No	Taito	Yes	Yes	Yes
arcade	Bubble Bobble: Lost Cave	2013	bublcave	2	joy2way	2	No	No	none	No	hack / Bisboch and Aladar	No	Yes	Yes
arcade	Bubble Memories: The Story Of Bubble Bobble 3	1995	bubblem	4	joy8way	4	No	No	dial	No	Taito	Yes	Yes	Yes
arcade	Bubble Symphony	1994	bubsymphe	4	joy8way	4	No	No	dial	No	Taito	No	No	Yes
arcade	Bubbles	1982	bubbles	1	joy8way	0	No	No	none	No	Williams	Yes	Yes	Yes
arcade	Buccaneers	1989	buccanrs	2	joy8way	2	No	No	none	No	Duintronic	No	No	Yes
arcade	Buck Rogers: Planet of Zoom	1982	buckrog	1	joy8way	3	No	No	none	No	SEGA	Yes	Yes	Yes
arcade	Bucky O'Hare	1992	bucky	4	joy8way	3	No	No	none	No	Konami / Tatsumi	No	Yes	Yes
arcade	Buggy Boy Junior/Speed Buggy	1986	buggyboyjr	1	none	1	No	No	pedal/dial	No	Tatsumi	No	No	Yes
arcade	Bullet	1987	bullet	3	doublejoy8way	0	No	No	none	No	SEGA	No	No	Yes
arcade	Bump 'n' Jump	1982	bnj	2	joy8way	1	No	No	none	Yes	Data East	Yes	Yes	Yes
arcade	Burger Time	1982	btime	2	joy4way	1	No	No	none	Yes	Data East	Yes	Yes	Yes
arcade	Burning Fight	1991	burningf	2	joy8way	4	No	No	none	No	SNK	No	No	Yes
arcade	Burning Force	1989	burnforc	2	joy8way	3	No	No	none	No	Namco	No	No	Yes
arcade	Burning Rival	1992	brival	2	joy8way	6	No	No	none	No	SEGA	No	No	Yes
arcade	Cabal	1988	cabal	2	joy8way	3	No	No	none	No	TAD Corporation / Tad Corporation	Yes	Yes	Yes
arcade	Cadash	1989	cadash	2	joy8way	2	No	No	none	No	Taito	Yes	Yes	Yes
arcade	Cadillacs & Dinosaurs	1993	dino	3	joy8way	2	No	No	none	No	Capcom	Yes	Yes	Yes
arcade	Caliber 50	1989	calibr50	2	joy8way	2	No	No	dial	Yes	Athena / Seta	Yes	Yes	Yes
arcade	Cameltry	1989	cameltry	2	none	1	No	No	dial	No	Taito	No	No	Yes
arcade	Capcom Sports Club	1997	csclub	2	joy8way	3	No	No	none	No	Capcom	No	Yes	Yes
arcade	Captain America & The Avengers	1991	captaven	4	joy8way	2	No	No	none	No	Data East	Yes	Yes	Yes
arcade	Captain Commando	1991	captcomm	4	joy8way	2	No	No	none	No	Capcom	Yes	Yes	Yes
arcade	Captain Silver	1987	csilver	2	joy8way	2	No	No	none	No	Data East	No	Yes	Yes
arcade	Captain Tomaday	1999	ctomaday	2	joy8way	4	No	No	none	No	Visco	No	Yes	Yes
arcade	CarnEvil	1998	carnevil	2	none	2	Yes	No	none	No	Midway Games	No	No	Yes
arcade	Carnival	1980	carnival	1	joy2way	1	No	No	none	Yes	SEGA	No	No	Yes
arcade	Carrier Air Wing	1990	cawing	2	joy8way	3	No	No	none	No	Capcom	Yes	Yes	Yes
arcade	Caveman Ninja	1991	cninja	2	joy8way	2	No	No	none	No	Data East	Yes	Yes	Yes
arcade	Centipede	1980	centiped	1	joy8way	1	No	Yes	none	Yes	Atari	Yes	Yes	Yes
arcade	Champion Wrestler	1989	champwr	2	joy8way	2	No	No	none	No	Taito	No	No	Yes
arcade	Championship Sprint	1986	csprint	2	none	0	No	No	pedal/dial	No	Atari Games	Yes	Yes	Yes
arcade	Chanbara	1985	chanbara	2	doublejoy4way	0	No	No	none	Yes	Data East	No	No	Yes
arcade	Change Air Blade	1999	cairblad	2	joy8way	3	No	No	none	Yes	Sammy	No	No	Yes
arcade	Charlie Ninja	1995	charlien	2	joy8way	3	No	No	none	No	Mitchell / Mitchell Corporation	No	No	Yes
arcade	Chase H.Q.	1988	chasehq	1	none	4	No	No	pedal/paddle/dial	No	Taito	Yes	Yes	Yes
arcade	Chelnov: Atomic Runner	1988	chelnov	2	joy8way	3	No	No	none	No	Data East	Yes	Yes	Yes
arcade	Chequered Flag	1988	chqflag	1	none	2	No	No	pedal/paddle	Yes	Konami	No	No	Yes
arcade	Cheyenne	1984	cheyenne	1	none	1	Yes	No	none	No	Exidy	No	No	Yes
arcade	Chicken Shift	1984	cshift	1	none	2	No	No	none	No	Bally/Sente	No	No	Yes
arcade	Chiller	1986	chiller	1	none	1	Yes	No	none	No	Exidy	No	No	Yes
arcade	Chimera Beast	1993	chimerab	2	joy8way	2	No	No	none	No	Jaleco	No	No	Yes
arcade	China Gate	1988	chinagat	2	joy8way	3	No	No	none	No	Technos Japan / Taito	No	No	Yes
arcade	Chinese Hero	1984	chinhero	2	joy4way	4	No	No	none	Yes	Taiyo System	No	No	Yes
arcade	Choplifter	1985	chopliftbl	2	joy8way	2	No	No	none	No	bootleg	Yes	Yes	Yes
arcade	Chopper 1	1988	chopper	2	joy8way	2	No	No	none	Yes	SNK	No	No	Yes
arcade	Choutetsu Brikin'ger	1996	ironclad	2	joy8way	4	No	No	none	No	Saurus / SNK	No	Yes	Yes
arcade	Chuka Taisen	1988	chukatai	2	joy8way	2	No	No	none	No	Taito	No	No	Yes
arcade	Circus Charlie	1984	circusc	2	joy2way	1	No	No	none	Yes	Konami	Yes	Yes	Yes
arcade	Cisco Heat	1990	cischeat	1	none	4	No	No	paddle	No	Jaleco	No	No	Yes
arcade	City Bomber	1987	citybomb	2	joy8way	3	No	No	pedal/paddle	Yes	Konami	No	No	Yes
arcade	City Connection	1985	citycon	2	joy8way	2	No	No	none	No	Jaleco	Yes	Yes	Yes
