System	Name	Year	Players	Input	Buttons	Vertical	Manufacturers	Player Legends 2	Retro Arcade 2 Elites
arcade	Bubble Memories: The Story Of Bubble Bobble 3	1995	4	joy8way / dial	4	No	Taito	Yes	Yes
arcade	Bubbles	1982	1	joy8way	0	No	Williams	Yes	Yes
arcade	Buck Rogers: Planet of Zoom	1982	1	joy8way	3	No	SEGA	Yes	Yes
arcade	Bucky O'Hare	1992	4	joy8way	3	No	Konami / Tatsumi	No	Yes
arcade	Bump 'n' Jump	1982	2	joy8way	1	Yes	Data East	Yes	Yes
arcade	Burger Time	1982	2	joy4way	1	Yes	Data East	Yes	Yes
arcade	Cabal	1988	2	joy8way	3	No	TAD Corporation / Tad Corporation	Yes	Yes
arcade	Cadash	1989	2	joy8way	2	No	Taito	Yes	Yes
arcade	Cadillacs & Dinosaurs	1993	3	joy8way	2	No	Capcom	Yes	Yes
arcade	Caliber 50	1989	2	joy8way / dial	2	Yes	Athena / Seta	Yes	Yes
arcade	Capcom Sports Club	1997	2	joy8way	3	No	Capcom	No	Yes
arcade	Captain America & The Avengers	1991	4	joy8way	2	No	Data East	Yes	Yes
arcade	Captain Commando	1991	4	joy8way	2	No	Capcom	Yes	Yes
arcade	Captain Silver	1987	2	joy8way	2	No	Data East	No	Yes
arcade	Captain Tomaday	1999	2	joy8way	4	No	Visco	No	Yes
arcade	Carrier Air Wing	1990	2	joy8way	3	No	Capcom	Yes	Yes
arcade	Caveman Ninja	1991	2	joy8way	2	No	Data East	Yes	Yes
arcade	Centipede	1980	1	joy8way / trackball	1	Yes	Atari	Yes	Yes
arcade	Championship Sprint	1986	2	pedal / dial	0	No	Atari Games	Yes	Yes
arcade	Chase H.Q.	1988	1	pedal / paddle / dial	4	No	Taito	Yes	Yes
arcade	Chelnov: Atomic Runner	1988	2	joy8way	3	No	Data East	Yes	Yes
arcade	Choplifter	1985	2	joy8way	2	No	bootleg	Yes	Yes
arcade	Choutetsu Brikin'ger	1996	2	joy8way	4	No	Saurus / SNK	No	Yes
arcade	Circus Charlie	1984	2	joy2way	1	Yes	Konami	Yes	Yes
arcade	City Connection	1985	2	joy8way	2	No	Jaleco	Yes	Yes
arcade	Cobra-Command	1988	2	joy8way	2	No	Data East / SEGA	No	Yes
arcade	Commando	1985	2	joy8way	2	Yes	Capcom / Data East	Yes	Yes
arcade	Congo Bongo	1983	2	joy8way	1	Yes	SEGA	Yes	Yes
arcade	Contra	1987	2	joy8way	2	Yes	Konami	Yes	Yes
arcade	Cop 01	1985	2	joy8way	2	No	Nichibutsu	No	Yes
arcade	Cosmic Alien	1979	2	joy2way	1	Yes	Universal	No	Yes
arcade	Cosmo Police Galivan	1985	2	joy8way	3	Yes	Nichibutsu	No	Yes
arcade	Cotton 2	1997	4	joy8way	4	No	Success	Yes	Yes
arcade	Crack Down	1989	2	joy8way	3	No	SEGA	No	Yes
arcade	Crazy Climber	1980	2	doublejoy8way	0	No	Nichibutsu	Yes	Yes
arcade	Crazy Taxi	1999	1	pedal / paddle	2	No	SEGA	No	Yes
arcade	Crossed Swords	1991	2	joy8way	4	No	Alpha Denshi Co.	No	Yes
arcade	Cruis'n USA	1994	1	pedal / paddle	8	No	Midway	No	Yes
